n_im,nt,nt,nt,nt_norm,nt_norm,nt_norm,steady,steady,steady,sample_id,parent_id,perm_id,rotate,ksim,alph_k
,mean,std,sem,mean,std,sem,mean,std,sem,,,,,,
3,31.836232082010987,,,30.03162585845228,,,1.8046062235587084,,,0,12345,9,3.141592653589793,2.6982786226110566e-06,0.4
6,59.41736551259566,,,55.89675212648116,,,3.5206133861144977,,,0,12345,9,3.141592653589793,2.6982786226110566e-06,0.4
9,86.95654638665428,,,81.86761255921473,,,5.088933827439547,,,0,12345,9,3.141592653589793,2.6982786226110566e-06,0.4
12,109.54465004615354,,,102.91566143521453,,,6.628988610938997,,,0,12345,9,3.141592653589793,2.6982786226110566e-06,0.4
3,1.347909742472797,,,-0.45669699505093386,,,1.804606737523731,,,0,12345,10,0.0,0.28868679127047286,0.4
6,1.3374472651823053,,,-2.1831661210706406,,,3.5206133862529456,,,0,12345,10,0.0,0.28868679127047286,0.4
9,1.335683146452146,,,-3.753250877768396,,,5.088934024220542,,,0,12345,10,0.0,0.28868679127047286,0.4
12,1.335320518349481,,,-5.293667721598271,,,6.628988239947752,,,0,12345,10,0.0,0.28868679127047286,0.4
3,6.959231309362145,,,5.154624571838414,,,1.804606737523731,,,0,12345,10,1.5707963267948966,0.028782830246681018,0.4
6,7.089118178219916,,,3.5685047919669706,,,3.5206133862529456,,,0,12345,10,1.5707963267948966,0.028782830246681018,0.4
9,7.112957671343694,,,2.024023647123152,,,5.088934024220542,,,0,12345,10,1.5707963267948966,0.028782830246681018,0.4
12,7.117942826721714,,,0.4889545867739624,,,6.628988239947752,,,0,12345,10,1.5707963267948966,0.028782830246681018,0.4
3,8.694402124889223,,,6.889795387365492,,,1.804606737523731,,,0,12345,10,1.5990706606772047,0.027758513011792756,0.4
6,9.239229979468787,,,5.718616593215842,,,3.5206133862529456,,,0,12345,10,1.5990706606772047,0.027758513011792756,0.4
9,9.35212256999227,,,4.263188545771728,,,5.088934024220542,,,0,12345,10,1.5990706606772047,0.027758513011792756,0.4
12,9.376320231814432,,,2.7473319918666803,,,6.628988239947752,,,0,12345,10,1.5990706606772047,0.027758513011792756,0.4
3,11.867914258194611,,,10.06330752067088,,,1.804606737523731,,,0,12345,10,1.8849555921538759,0.025709428826417705,0.4
6,13.633679460032202,,,10.113066073779256,,,3.5206133862529456,,,0,12345,10,1.8849555921538759,0.025709428826417705,0.4
9,14.032292285479881,,,8.94335826125934,,,5.088934024220542,,,0,12345,10,1.8849555921538759,0.025709428826417705,0.4
12,14.118003601217426,,,7.489015361269674,,,6.628988239947752,,,0,12345,10,1.8849555921538759,0.025709428826417705,0.4
3,31.836280185485226,,,30.031673447961495,,,1.804606737523731,,,0,12345,10,3.141592653589793,2.6982786226110557e-06,0.4
6,59.41760887535711,,,55.896995489104164,,,3.5206133862529456,,,0,12345,10,3.141592653589793,2.6982786226110557e-06,0.4
9,86.93965318298417,,,81.85071915876364,,,5.088934024220542,,,0,12345,10,3.141592653589793,2.6982786226110557e-06,0.4
12,109.77634343387132,,,103.14735519392357,,,6.628988239947752,,,0,12345,10,3.141592653589793,2.6982786226110557e-06,0.4
3,1.3479093140485434,,,-0.4566965726212584,,,1.8046058866698018,,,0,12345,11,0.0,0.2886867912704728,0.4
6,1.337446931100818,,,-2.1831661084434923,,,3.5206130395443105,,,0,12345,11,0.0,0.2886867912704728,0.4
