Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,coef,shift,train_rss,train_mse,train_nmse
125,4,6,8,0.9,1e-06,2.6666666666666665,125,,5,125.0,0.01897666010791515,0.03588963338116024,3.0639454144947935e-05,1.5319727072473968e-06,0.003498371229694021
126,4,8,8,0.0,0.1,2.6666666666666665,126,,6,126.0,-0.9369706056370108,4.084239850347027,0.00036397348153831423,1.8198674076915712e-05,0.04155799741605906
127,4,8,8,0.0,0.01,2.6666666666666665,127,,7,127.0,-0.10165085907613601,0.49190081171524785,0.00048216004906150554,2.4108002453075276e-05,0.055052379058872905
128,4,8,8,0.0,0.001,2.6666666666666665,128,,0,128.0,-0.02550064035623073,0.15740132071350055,0.0006753549674242129,3.376774837121064e-05,0.0771111122505875
129,4,8,8,0.0,0.0001,2.6666666666666665,129,,1,129.0,0.034055503232360285,-0.009368122546499493,0.000567680293604409,2.838401468022045e-05,0.06481696434325605
130,4,8,8,0.0,1e-05,2.6666666666666665,130,,2,130.0,0.03575133274123879,-0.005021129803201831,0.0004318589341597899,2.1592946707989494e-05,0.04930906612773472
131,4,8,8,0.0,1e-06,2.6666666666666665,131,,3,131.0,0.03512627734586249,-0.0025681114936469806,0.000418848525017567,2.094242625087835e-05,0.0478235552953818
132,4,8,8,0.01,0.1,2.6666666666666665,132,,4,132.0,-5.60847274531437,24.129685229908638,0.0004396635549125347,2.1983177745626732e-05,0.05020018711738776
133,4,8,8,0.01,0.01,2.6666666666666665,133,,5,133.0,0.012007615147442613,0.02269663550487877,0.0007614705653871224,3.807352826935612e-05,0.08694367417927365
134,4,8,8,0.01,0.001,2.6666666666666665,134,,6,134.0,0.008027655579341871,0.045101037967516626,0.0007588488924997565,3.7942444624987825e-05,0.08664433513232322
135,4,8,8,0.01,0.0001,2.6666666666666665,135,,7,135.0,0.042965854194709545,-0.03107503227353272,0.0004372468613855831,2.1862343069279157e-05,0.049924252335205324
136,4,8,8,0.01,1e-05,2.6666666666666665,136,,0,136.0,0.038136134939422764,-0.008799253371425456,0.0003508979642911892,1.754489821455946e-05,0.04006505262878214
137,4,8,8,0.01,1e-06,2.6666666666666665,137,,1,137.0,0.03703503796801638,-0.005169686761785733,0.0003451929724903818,1.725964862451909e-05,0.039413664419084685
138,4,8,8,0.1,0.1,2.6666666666666665,138,,2,138.0,-3.8423336077106667,16.58997320161972,0.0005507781538301905,2.7538907691509523e-05,0.06288710099690975
139,4,8,8,0.1,0.01,2.6666666666666665,139,,3,139.0,3.618295317041007,-15.424694220634313,0.00037644504256696394,1.88222521283482e-05,0.042981983303196525
140,4,8,8,0.1,0.001,2.6666666666666665,140,,4,140.0,0.3477411070427457,-1.3586325645347475,8.07216570356766e-05,4.03608285178383e-06,0.009216689084958853
141,4,8,8,0.1,0.0001,2.6666666666666665,141,,5,141.0,0.038015926560291693,-0.03180677633975232,3.385054349621721e-05,1.6925271748108606e-06,0.0038650090473690314
