Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
160,4,8,8,0.8,1e-05,2.6666666666666665,160,,0,160.0,1.9898534082400506e-06,1.8894794051774132e-07,1.8894794051774132e-07
161,4,8,8,0.8,1e-06,2.6666666666666665,161,,1,161.0,1.6112170757854839e-06,1.3549406349653164e-07,1.3549406349653164e-07
162,4,8,8,0.9,0.1,2.6666666666666665,162,,2,162.0,2.525828572417164e-05,1.8976742906712175e-06,1.8976742906712175e-06
163,4,8,8,0.9,0.01,2.6666666666666665,163,,3,163.0,2.533783898558044e-05,1.906555287276344e-06,1.906555287276344e-06
164,4,8,8,0.9,0.001,2.6666666666666665,164,,4,164.0,2.7040818535603178e-05,2.059632230304075e-06,2.059632230304075e-06
165,4,8,8,0.9,0.0001,2.6666666666666665,165,,5,165.0,9.531096119547081e-06,8.942425638580458e-07,8.942425638580458e-07
166,4,8,8,0.9,1e-05,2.6666666666666665,166,,6,166.0,2.150168593842882e-06,1.981314089309917e-07,1.981314089309917e-07
167,4,8,8,0.9,1e-06,2.6666666666666665,167,,7,167.0,1.7100632886051123e-06,1.3852931564854887e-07,1.3852931564854887e-07
168,4,10,8,0.0,0.1,2.6666666666666665,168,,0,168.0,1.8517762562879025e-05,1.4282971052873525e-06,1.4282971052873525e-06
169,4,10,8,0.0,0.01,2.6666666666666665,169,,1,169.0,2.6379088819213034e-05,1.9546597355096426e-06,1.9546597355096426e-06
170,4,10,8,0.0,0.001,2.6666666666666665,170,,2,170.0,3.5394293131332684e-05,2.377313588863732e-06,2.377313588863732e-06
171,4,10,8,0.0,0.0001,2.6666666666666665,171,,3,171.0,3.331015133783513e-05,2.560332344625145e-06,2.560332344625145e-06
172,4,10,8,0.0,1e-05,2.6666666666666665,172,,4,172.0,2.4162423507482498e-05,1.9624405557022664e-06,1.9624405557022664e-06
173,4,10,8,0.0,1e-06,2.6666666666666665,173,,5,173.0,2.324994803121289e-05,1.8703630009438693e-06,1.8703630009438693e-06
174,4,10,8,0.01,0.1,2.6666666666666665,174,,6,174.0,2.3046036203590628e-05,1.2946391837586637e-06,1.2946391837586637e-06
175,4,10,8,0.01,0.01,2.6666666666666665,175,,7,175.0,4.182313835839037e-05,2.2462553315226035e-06,2.2462553315226035e-06
176,4,10,8,0.01,0.001,2.6666666666666665,176,,0,176.0,4.183204994954141e-05,2.2199899540228933e-06,2.2199899540228933e-06
177,4,10,8,0.01,0.0001,2.6666666666666665,177,,1,177.0,2.5662301758094338e-05,2.033499779637409e-06,2.033499779637409e-06
178,4,10,8,0.01,1e-05,2.6666666666666665,178,,2,178.0,1.95473548048755e-05,1.5201487707085227e-06,1.5201487707085227e-06
179,4,10,8,0.01,1e-06,2.6666666666666665,179,,3,179.0,1.9128884152074698e-05,1.4720522973054677e-06,1.4720522973054677e-06
180,4,10,8,0.1,0.1,2.6666666666666665,180,,4,180.0,2.9407572050233197e-05,2.192658846469475e-06,2.192658846469475e-06
181,4,10,8,0.1,0.01,2.6666666666666665,181,,5,181.0,2.8135489375915504e-05,1.3947463910712107e-06,1.3947463910712107e-06
182,4,10,8,0.1,0.001,2.6666666666666665,182,,6,182.0,4.379244297552211e-06,4.0938148930787824e-07,4.0938148930787824e-07
183,4,10,8,0.1,0.0001,2.6666666666666665,183,,7,183.0,1.973825110192992e-06,1.3781387690768354e-07,1.3781387690768354e-07
