Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
116,4,6,8,0.8,0.001,2.6666666666666665,116,,4,116.0,3.521533564387947e-05,2.389614654909927e-06,2.389614654909927e-06
117,4,6,8,0.8,0.0001,2.6666666666666665,117,,5,117.0,6.816010141218025e-06,7.177325135442532e-07,7.177325135442532e-07
118,4,6,8,0.8,1e-05,2.6666666666666665,118,,6,118.0,1.8943760641990547e-06,1.7341403541324156e-07,1.7341403541324156e-07
119,4,6,8,0.8,1e-06,2.6666666666666665,119,,7,119.0,1.5387365901237256e-06,1.2995589538258095e-07,1.2995589538258095e-07
120,4,6,8,0.9,0.1,2.6666666666666665,120,,0,120.0,2.3945239061100622e-05,1.7986917793059307e-06,1.7986917793059307e-06
121,4,6,8,0.9,0.01,2.6666666666666665,121,,1,121.0,2.404798554337887e-05,1.8100388256949706e-06,1.8100388256949706e-06
122,4,6,8,0.9,0.001,2.6666666666666665,122,,2,122.0,2.6712480688719898e-05,2.0348848991906944e-06,2.0348848991906944e-06
123,4,6,8,0.9,0.0001,2.6666666666666665,123,,3,123.0,7.598851877200018e-06,7.893009898419755e-07,7.893009898419755e-07
124,4,6,8,0.9,1e-05,2.6666666666666665,124,,4,124.0,2.0110747532060843e-06,1.7895076082239554e-07,1.7895076082239554e-07
125,4,6,8,0.9,1e-06,2.6666666666666665,125,,5,125.0,1.5979885639241474e-06,1.3047649935935716e-07,1.3047649935935716e-07
126,4,8,8,0.0,0.1,2.6666666666666665,126,,6,126.0,1.9114509650977288e-05,1.4528500717031118e-06,1.4528500717031118e-06
127,4,8,8,0.0,0.01,2.6666666666666665,127,,7,127.0,2.5348599995642273e-05,1.8845974003261333e-06,1.8845974003261333e-06
128,4,8,8,0.0,0.001,2.6666666666666665,128,,0,128.0,3.540122741447501e-05,2.2492759238222617e-06,2.2492759238222617e-06
129,4,8,8,0.0,0.0001,2.6666666666666665,129,,1,129.0,2.9849226123517837e-05,2.357265476474794e-06,2.357265476474794e-06
130,4,8,8,0.0,1e-05,2.6666666666666665,130,,2,130.0,2.271316265850969e-05,1.8412020080109554e-06,1.8412020080109554e-06
131,4,8,8,0.0,1e-06,2.6666666666666665,131,,3,131.0,2.2027111628761232e-05,1.7707627702493679e-06,1.7707627702493679e-06
132,4,8,8,0.01,0.1,2.6666666666666665,132,,4,132.0,2.3019583116528307e-05,1.4488083695832343e-06,1.4488083695832343e-06
133,4,8,8,0.01,0.01,2.6666666666666665,133,,5,133.0,3.986148908568881e-05,2.136177584389115e-06,2.136177584389115e-06
134,4,8,8,0.01,0.001,2.6666666666666665,134,,6,134.0,3.9740352503481044e-05,2.1318728626325145e-06,2.1318728626325145e-06
135,4,8,8,0.01,0.0001,2.6666666666666665,135,,7,135.0,2.3002589807605714e-05,1.8252151984015978e-06,1.8252151984015978e-06
136,4,8,8,0.01,1e-05,2.6666666666666665,136,,0,136.0,1.8449221689036556e-05,1.432086602306075e-06,1.432086602306075e-06
137,4,8,8,0.01,1e-06,2.6666666666666665,137,,1,137.0,1.8147630555820178e-05,1.396282060733314e-06,1.396282060733314e-06
138,4,8,8,0.1,0.1,2.6666666666666665,138,,2,138.0,2.8962162099023283e-05,2.1408226518660455e-06,2.1408226518660455e-06
139,4,8,8,0.1,0.01,2.6666666666666665,139,,3,139.0,1.977850577829685e-05,1.00155986548573e-06,1.00155986548573e-06
140,4,8,8,0.1,0.001,2.6666666666666665,140,,4,140.0,4.205291509615061e-06,3.995638468728416e-07,3.995638468728416e-07
141,4,8,8,0.1,0.0001,2.6666666666666665,141,,5,141.0,1.7697621447048698e-06,1.190956253125143e-07,1.190956253125143e-07
