Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,jack_mse_mean,jack_mse_std,jack_mse_se
3,16,2,8,0.01,2.6666666666666665,131,,3,3.89063444037724e-05,2.11425214159419e-06,2.11425214159419e-06
4,16,2,8,0.1,2.6666666666666665,132,,4,2.216994817162116e-06,1.2272544206216478e-07,1.2272544206216478e-07
5,16,2,8,0.2,2.6666666666666665,133,,5,1.5278294366939803e-06,1.3093506554884085e-07,1.3093506554884085e-07
6,16,2,8,0.3,2.6666666666666665,134,,6,1.4052696636216342e-06,1.32413865857543e-07,1.32413865857543e-07
7,16,2,8,0.4,2.6666666666666665,135,,7,1.4226850419739464e-06,1.3127847754155234e-07,1.3127847754155234e-07
0,16,2,8,0.5,2.6666666666666665,136,,0,1.5738274473103018e-06,1.3188578815922133e-07,1.3188578815922133e-07
1,16,2,8,0.6,2.6666666666666665,137,,1,1.8662628309192858e-06,1.3452920497224165e-07,1.3452920497224165e-07
2,16,2,8,0.7,2.6666666666666665,138,,2,2.1865374168938907e-06,1.361781665688961e-07,1.361781665688961e-07
3,16,2,8,0.8,2.6666666666666665,139,,3,2.7513739843459423e-06,1.467552161897268e-07,1.467552161897268e-07
4,16,2,8,0.9,2.6666666666666665,140,,4,3.959682445700203e-06,1.9936142963873733e-07,1.9936142963873733e-07
5,16,2,8,0.99,2.6666666666666665,141,,5,6.709362122371505e-06,4.0948211483431965e-07,4.0948211483431965e-07
6,16,2,8,0.999,2.6666666666666665,142,,6,7.687280986195082e-06,4.7062913780389453e-07,4.7062913780389453e-07
7,16,4,8,0.001,2.6666666666666665,143,,7,2.541841627401016e-05,1.8735802846233328e-06,1.8735802846233328e-06
0,16,4,8,0.01,2.6666666666666665,144,,0,3.885342380893027e-05,2.110652326627532e-06,2.110652326627532e-06
1,16,4,8,0.1,2.6666666666666665,145,,1,2.4588407540644286e-06,1.261676030423678e-07,1.261676030423678e-07
2,16,4,8,0.2,2.6666666666666665,146,,2,1.7732209796462544e-06,1.372725838405875e-07,1.372725838405875e-07
3,16,4,8,0.3,2.6666666666666665,147,,3,1.634097437827806e-06,1.410811120303348e-07,1.410811120303348e-07
4,16,4,8,0.4,2.6666666666666665,148,,4,1.6031290940918853e-06,1.3908639189833519e-07,1.3908639189833519e-07
5,16,4,8,0.5,2.6666666666666665,149,,5,1.6661394049712351e-06,1.3721271712549752e-07,1.3721271712549752e-07
6,16,4,8,0.6,2.6666666666666665,150,,6,1.822068377364555e-06,1.3774666316951018e-07,1.3774666316951018e-07
7,16,4,8,0.7,2.6666666666666665,151,,7,2.0533611209081295e-06,1.392067075161116e-07,1.392067075161116e-07
0,16,4,8,0.8,2.6666666666666665,152,,0,2.4883525799401128e-06,1.4427901182119096e-07,1.4427901182119096e-07
1,16,4,8,0.9,2.6666666666666665,153,,1,3.3748092867000815e-06,1.833985664942497e-07,1.833985664942497e-07
2,16,4,8,0.99,2.6666666666666665,154,,2,5.8834991681246485e-06,3.694202523333097e-07,3.694202523333097e-07
3,16,4,8,0.999,2.6666666666666665,155,,3,6.857734404770594e-06,4.229450067063286e-07,4.229450067063286e-07
4,16,6,8,0.001,2.6666666666666665,156,,4,2.5395177203423762e-05,1.875995129145957e-06,1.875995129145957e-06
5,16,6,8,0.01,2.6666666666666665,157,,5,3.8736454162039177e-05,2.1141502051629443e-06,2.1141502051629443e-06
6,16,6,8,0.1,2.6666666666666665,158,,6,2.8978550766003023e-06,1.3256881465444033e-07,1.3256881465444033e-07
7,16,6,8,0.2,2.6666666666666665,159,,7,2.228192098437448e-06,1.4848055614260442e-07,1.4848055614260442e-07
0,16,6,8,0.3,2.6666666666666665,160,,0,2.134315935725792e-06,1.6063473026997752e-07,1.6063473026997752e-07
1,16,6,8,0.4,2.6666666666666665,161,,1,2.131619102589352e-06,1.667316937952479e-07,1.667316937952479e-07
2,16,6,8,0.5,2.6666666666666665,162,,2,2.1773331780116325e-06,1.7250467668483001e-07,1.7250467668483001e-07
3,16,6,8,0.6,2.6666666666666665,163,,3,2.2322956001056618e-06,1.758543605861635e-07,1.758543605861635e-07
4,16,6,8,0.7,2.6666666666666665,164,,4,2.458116956155039e-06,1.8332739934244941e-07,1.8332739934244941e-07
5,16,6,8,0.8,2.6666666666666665,165,,5,2.841075897626181e-06,1.8886236297944797e-07,1.8886236297944797e-07
6,16,6,8,0.9,2.6666666666666665,166,,6,3.831776910118781e-06,2.0445581242502922e-07,2.0445581242502922e-07
7,16,6,8,0.99,2.6666666666666665,167,,7,6.05161438264648e-06,3.441236779063595e-07,3.441236779063595e-07
0,16,6,8,0.999,2.6666666666666665,168,,0,6.57638634040709e-06,3.9161006136326644e-07,3.9161006136326644e-07
1,16,8,8,0.001,2.6666666666666665,169,,1,2.5422644887779508e-05,1.877394588920478e-06,1.877394588920478e-06
2,16,8,8,0.01,2.6666666666666665,170,,2,3.8701554159782225e-05,2.115775351118665e-06,2.115775351118665e-06
3,16,8,8,0.1,2.6666666666666665,171,,3,2.777226674260072e-06,1.314564397500636e-07,1.314564397500636e-07
4,16,8,8,0.2,2.6666666666666665,172,,4,1.966276924918619e-06,1.3618376500835306e-07,1.3618376500835306e-07
5,16,8,8,0.3,2.6666666666666665,173,,5,1.809226130109758e-06,1.4232553918458767e-07,1.4232553918458767e-07
6,16,8,8,0.4,2.6666666666666665,174,,6,1.8123540692466972e-06,1.4570287130406344e-07,1.4570287130406344e-07
7,16,8,8,0.5,2.6666666666666665,175,,7,1.871221757373782e-06,1.4777751660591727e-07,1.4777751660591727e-07
0,16,8,8,0.6,2.6666666666666665,176,,0,2.0533249676233484e-06,1.544861980072512e-07,1.544861980072512e-07
1,16,8,8,0.7,2.6666666666666665,177,,1,2.32352958827957e-06,1.630178758687302e-07,1.630178758687302e-07
2,16,8,8,0.8,2.6666666666666665,178,,2,2.739464965979459e-06,1.6912380261608147e-07,1.6912380261608147e-07
3,16,8,8,0.9,2.6666666666666665,179,,3,3.404292644563115e-06,1.8901334175022618e-07,1.8901334175022618e-07
4,16,8,8,0.99,2.6666666666666665,180,,4,5.859558265047902e-06,3.4341980765601736e-07,3.4341980765601736e-07
5,16,8,8,0.999,2.6666666666666665,181,,5,6.225938965894223e-06,3.677018250243685e-07,3.677018250243685e-07
6,16,10,8,0.001,2.6666666666666665,182,,6,2.542457398695239e-05,1.8775950176001597e-06,1.8775950176001597e-06
7,16,10,8,0.01,2.6666666666666665,183,,7,3.867777899304225e-05,2.115797688715619e-06,2.115797688715619e-06
0,16,10,8,0.1,2.6666666666666665,184,,0,2.793869040413359e-06,1.3516644611394e-07,1.3516644611394e-07
1,16,10,8,0.2,2.6666666666666665,185,,1,2.0635049150982397e-06,1.4621341895350093e-07,1.4621341895350093e-07
2,16,10,8,0.3,2.6666666666666665,186,,2,2.0047653351373248e-06,1.5762976344797686e-07,1.5762976344797686e-07
3,16,10,8,0.4,2.6666666666666665,187,,3,2.0310258640249954e-06,1.6367907868670344e-07,1.6367907868670344e-07
4,16,10,8,0.5,2.6666666666666665,188,,4,2.0812944556009425e-06,1.6713841667094822e-07,1.6713841667094822e-07
5,16,10,8,0.6,2.6666666666666665,189,,5,2.261422021772212e-06,1.7493234077641765e-07,1.7493234077641765e-07
6,16,10,8,0.7,2.6666666666666665,190,,6,2.491713120220735e-06,1.836212005019833e-07,1.836212005019833e-07
7,16,10,8,0.8,2.6666666666666665,191,,7,2.8104072365218894e-06,1.8925624652649003e-07,1.8925624652649003e-07
0,16,10,8,0.9,2.6666666666666665,192,,0,3.476400620902885e-06,2.0033346510273185e-07,2.0033346510273185e-07
1,16,10,8,0.99,2.6666666666666665,193,,1,5.579468359555083e-06,3.184583264491521e-07,3.184583264491521e-07
2,16,10,8,0.999,2.6666666666666665,194,,2,6.025781870584459e-06,3.4855560776860764e-07,3.4855560776860764e-07
3,32,2,8,0.001,2.6666666666666665,195,,3,2.4916239572407424e-05,1.8794088399523659e-06,1.8794088399523659e-06
4,32,2,8,0.01,2.6666666666666665,196,,4,3.811422530285866e-05,2.1474036948084146e-06,2.1474036948084146e-06
5,32,2,8,0.1,2.6666666666666665,197,,5,1.2659277654443186e-06,1.1272823974284949e-07,1.1272823974284949e-07
6,32,2,8,0.2,2.6666666666666665,198,,6,1.06929599273033e-06,1.276932753707069e-07,1.276932753707069e-07
7,32,2,8,0.3,2.6666666666666665,199,,7,1.0917646348294588e-06,1.326631842778344e-07,1.326631842778344e-07
0,32,2,8,0.4,2.6666666666666665,200,,0,1.198155713052177e-06,1.362156410756956e-07,1.362156410756956e-07
1,32,2,8,0.5,2.6666666666666665,201,,1,1.3873843020322564e-06,1.4299643830942894e-07,1.4299643830942894e-07
2,32,2,8,0.6,2.6666666666666665,202,,2,1.6526594485747256e-06,1.551298428683e-07,1.551298428683e-07
3,32,2,8,0.7,2.6666666666666665,203,,3,2.0062884396517705e-06,1.7453872367131935e-07,1.7453872367131935e-07
4,32,2,8,0.8,2.6666666666666665,204,,4,2.5342719919813946e-06,2.0775683697697938e-07,2.0775683697697938e-07
5,32,2,8,0.9,2.6666666666666665,205,,5,3.652361797046979e-06,2.87625877148394e-07,2.87625877148394e-07
6,32,2,8,0.99,2.6666666666666665,206,,6,5.6126650516824265e-06,3.387077821566873e-07,3.387077821566873e-07
7,32,2,8,0.999,2.6666666666666665,207,,7,5.876412896910333e-06,3.516581969614371e-07,3.516581969614371e-07
0,32,4,8,0.001,2.6666666666666665,208,,0,2.4945464043725296e-05,1.8796996648345782e-06,1.8796996648345782e-06
1,32,4,8,0.01,2.6666666666666665,209,,1,3.8498739685473255e-05,2.1444400345399872e-06,2.1444400345399872e-06
2,32,4,8,0.1,2.6666666666666665,210,,2,1.236070841611351e-06,1.0482337629001438e-07,1.0482337629001438e-07
3,32,4,8,0.2,2.6666666666666665,211,,3,1.0233736721031004e-06,1.1798889279617861e-07,1.1798889279617861e-07
4,32,4,8,0.3,2.6666666666666665,212,,4,1.0433528898446457e-06,1.237585198714994e-07,1.237585198714994e-07
5,32,4,8,0.4,2.6666666666666665,213,,5,1.1483912877323743e-06,1.322258088688183e-07,1.322258088688183e-07
6,32,4,8,0.5,2.6666666666666665,214,,6,1.3314975310439035e-06,1.4413646541150907e-07,1.4413646541150907e-07
7,32,4,8,0.6,2.6666666666666665,215,,7,1.5318786227740567e-06,1.5604104584180765e-07,1.5604104584180765e-07
0,32,4,8,0.7,2.6666666666666665,216,,0,1.7070192898077348e-06,1.6628372341283704e-07,1.6628372341283704e-07
1,32,4,8,0.8,2.6666666666666665,217,,1,2.007362535389431e-06,1.8891550785130412e-07,1.8891550785130412e-07
2,32,4,8,0.9,2.6666666666666665,218,,2,2.583689642070364e-06,2.1087297047003273e-07,2.1087297047003273e-07
3,32,4,8,0.99,2.6666666666666665,219,,3,4.38897863488829e-06,2.6273846138184845e-07,2.6273846138184845e-07
