Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,mse_comb,mse_tem,mse_trec,mse_tmem,mse_steady,mse_mean,mse_mean2,coef,shift
0,4,4,8,0.99,2.6666666666666665,24,,0,0.0009220186996017832,2.5833335525290726e-05,0.00020819581546269777,5.699383229077251e-05,5.528813703400737e-05,8.657778007819209e-05,9.672337855012614e-05,0.019846770043655173,0.0354069163900426
1,4,4,8,0.999,2.6666666666666665,25,,1,0.0009301725043287426,2.7947353417137568e-05,0.00024200759875471454,6.0448903691720245e-05,5.557520911107403e-05,9.64947662436616e-05,0.00010932233619108309,0.019910874841951247,0.03528480624907289
2,4,6,8,0.001,2.6666666666666665,26,,2,0.0015556539895449017,0.0013216666057471193,0.00010230597441099916,0.0005171634535381819,5.3429733305846255e-05,0.0004986414417505367,0.0005697563911933776,-0.07194021089844706,0.36488549880203003
3,4,6,8,0.01,2.6666666666666665,27,,3,0.0017979192412357614,0.0013658227378534192,0.0007705785812794769,0.000605716321302424,2.2069538413208706e-05,0.0006910467947121321,0.0008167647496635709,-0.012354275928014984,0.10893651080338154
4,4,6,8,0.1,2.6666666666666665,28,,4,0.0009079380517789307,4.537700719784291e-05,4.560813497080699e-05,8.360983612521352e-05,4.023439370019062e-05,5.370734299851351e-05,5.096908569378399e-05,0.03062742597827215,0.01487006493476227
5,4,6,8,0.2,2.6666666666666665,29,,5,0.0008835304103429596,2.205389922091643e-05,2.0443195639768587e-05,5.4810028308864115e-05,4.921557739773453e-05,3.6630675141820915e-05,3.150329923799479e-05,0.025461989118498805,0.026495703299094352
6,4,6,8,0.3,2.6666666666666665,30,,6,0.0008783389968898774,1.1862261929646503e-05,1.5865540996137887e-05,3.836296740136661e-05,5.168368213156573e-05,2.944361311467918e-05,2.4250375897416855e-05,0.023267093110319045,0.030726562387176755
7,4,6,8,0.4,2.6666666666666665,31,,7,0.0008785134050499776,6.675021160255195e-06,1.50531222627781e-05,2.8116400973586667e-05,5.235636927110294e-05,2.5550228416930726e-05,2.0654842848459367e-05,0.02187377362334797,0.03314220873182612
0,4,6,8,0.5,2.6666666666666665,32,,0,0.0008798051131266631,4.059678714621742e-06,1.744976120212686e-05,2.3281712896387142e-05,5.27025220296572e-05,2.4373418710698236e-05,1.983385245992359e-05,0.02093478235077126,0.03464451886615953
1,4,6,8,0.6,2.6666666666666665,33,,1,0.0008815320978011082,3.0963484215408243e-06,2.2531734712794616e-05,2.106807560284293e-05,5.291498866099307e-05,2.4902786849542858e-05,2.087320508875115e-05,0.020230269120614704,0.03570766844625001
2,4,6,8,0.7,2.6666666666666665,34,,2,0.000884810600641843,4.884427208678699e-06,3.350319333537159e-05,2.189651815995868e-05,5.352766486646914e-05,2.845295089261953e-05,2.5366570685754737e-05,0.019794421295609786,0.03629345612651377
3,4,6,8,0.8,2.6666666666666665,35,,3,0.0008907625609122184,8.869221313412677e-06,5.420435804340531e-05,2.8176907970310238e-05,5.443512459507191e-05,3.6421402980550035e-05,3.479319854650302e-05,0.0195572748905978,0.03654631716949591
4,4,6,8,0.9,2.6666666666666665,36,,4,0.0009003240889717886,1.6046641533101363e-05,9.115803790743739e-05,4.0359000037759134e-05,5.564921648927564e-05,5.080322399189339e-05,5.173626256801872e-05,0.01951711559728984,0.03649017540502687
5,4,6,8,0.99,2.6666666666666665,37,,5,0.0009242454728208832,2.5479985615534715e-05,0.00019546893730555738,6.0926046402116205e-05,5.665840152771311e-05,8.463334271273035e-05,9.324704896200226e-05,0.019582746942947444,0.03631355978961498
6,4,6,8,0.999,2.6666666666666665,38,,6,0.0009322653828894953,2.801715313020506e-05,0.00022988658054990486,6.510715786202781e-05,5.7072719984992055e-05,9.502090288178245e-05,0.00010633122420120663,0.01967200443816236,0.0361443111761046
7,4,8,8,0.001,2.6666666666666665,39,,7,0.0015556948439618423,0.0013216699646235995,0.00010233623818207398,0.0005171900079022667,5.342998806804784e-05,0.000498656549693997,0.0005697720669302769,-0.07193857705145451,0.36484754348574466
0,4,8,8,0.01,2.6666666666666665,40,,0,0.0017975234975913762,0.0013688475176942155,0.0007658173490938893,0.0006072059938626117,2.2270236902351335e-05,0.000691035274388267,0.0008164676607235288,-0.012473249923287865,0.1092799098538208
1,4,8,8,0.1,2.6666666666666665,41,,1,0.0009112274906309233,4.594271203674204e-05,4.795600643272179e-05,8.069517226693211e-05,3.8751909260076176e-05,5.333644999911803e-05,5.120741974432266e-05,0.030664806079529556,0.014883671214014217
2,4,8,8,0.2,2.6666666666666665,42,,2,0.000886623017934396,2.303727422830584e-05,2.0471958935077917e-05,5.1708733186930785e-05,4.725437603658194e-05,3.561808559672412e-05,3.099692925838005e-05,0.0254421783948883,0.026652314501287258
3,4,8,8,0.3,2.6666666666666665,43,,3,0.0008817924732144142,1.3325024588014777e-05,1.6313093682627202e-05,3.559743592562793e-05,4.975452772445323e-05,2.8747520480180786e-05,2.410470003189419e-05,0.023176655547575045,0.0310371046297504
4,4,8,8,0.4,2.6666666666666665,44,,4,0.0008825398085121213,8.524118264457197e-06,1.5520139663082962e-05,2.5771703398165188e-05,5.0485369414933975e-05,2.507533268515983e-05,2.0724264778029915e-05,0.021696311942299526,0.03363488845073996
5,4,8,8,0.5,2.6666666666666665,45,,5,0.0008826809538773003,5.851258569084616e-06,1.8574967244661663e-05,2.2525331355641027e-05,5.1338039144979645e-05,2.4572399078591738e-05,2.045263702135221e-05,0.02082377139758818,0.035034054264292944
6,4,8,8,0.6,2.6666666666666665,46,,6,0.0008838413841865744,4.70760587297958e-06,2.4655613114087658e-05,2.1867330283617116e-05,5.198239017762524e-05,2.5803234862077398e-05,2.209602640589614e-05,0.02017531308872792,0.03600495089651021
7,4,8,8,0.7,2.6666666666666665,47,,7,0.0008870805768648239,5.402527578860647e-06,3.571004676195664e-05,2.3293195563234106e-05,5.225092071860962e-05,2.916417265566525e-05,2.6294877493913055e-05,0.019594887172244085,0.036864354598249285
0,4,8,8,0.8,2.6666666666666665,48,,0,0.0008935129937445324,9.254518283174448e-06,5.906416288758952e-05,2.9943702505954482e-05,5.244876834055185e-05,3.767778800431757e-05,3.6504972198005715e-05,0.019126806824929135,0.037549170641825974
