Unnamed: 0,cdens,knum,type_complex,k_alph,num_complex,grid_id,save_path,grid_id_old,coef,shift,train_rss,train_mse,train_nmse
2,8,4,8,0.3,2.6666666666666665,82,,2,0.02404473106021885,0.027615275463290966,2.561696858435408e-05,1.2808484292177039e-06,922948561366.8698
3,8,4,8,0.4,2.6666666666666665,83,,3,0.02299769872758993,0.029390266606982778,2.521958734806753e-05,1.2609793674033767e-06,908631393465.5569
4,8,4,8,0.5,2.6666666666666665,84,,4,0.022238319303121173,0.030576966654462644,2.5542270066005272e-05,1.2771135033002636e-06,920257263611.6633
5,8,4,8,0.6,2.6666666666666665,85,,5,0.02165773057964506,0.0314254355112656,2.7296668584162677e-05,1.3648334292081339e-06,983466131712.7277
6,8,4,8,0.7,2.6666666666666665,86,,6,0.02117312370682166,0.03211064862493225,3.197626274821726e-05,1.598813137410863e-06,1152066279980.5786
7,8,4,8,0.8,2.6666666666666665,87,,7,0.02081115600653969,0.03259841323504642,4.070382215933669e-05,2.0351911079668344e-06,1466509746474.749
0,8,4,8,0.9,2.6666666666666665,88,,0,0.020575936489264618,0.0329026654269856,5.9742254298414335e-05,2.9871127149207167e-06,2152441553572.8975
1,8,4,8,0.99,2.6666666666666665,89,,1,0.020531507838149728,0.03291915655576641,9.739543151578317e-05,4.869771575789159e-06,3509040232656.558
2,8,4,8,0.999,2.6666666666666665,90,,2,0.02059797949646216,0.03278629261836894,0.00010812826752179354,5.406413376089677e-06,3895731402554.933
3,8,6,8,0.001,2.6666666666666665,91,,3,-0.07068953520045024,0.3612029710063298,0.00047963464969556985,2.3981732484778493e-05,17280659437143.574
4,8,6,8,0.01,2.6666666666666665,92,,4,-0.011758026127833483,0.10721066733262767,0.0007387095134262957,3.693547567131478e-05,26614815115213.64
5,8,6,8,0.1,2.6666666666666665,93,,5,0.030853049607544102,0.013624078096742879,4.686284191679473e-05,2.3431420958397366e-06,1688411819151.9937
6,8,6,8,0.2,2.6666666666666665,94,,6,0.02593348744666405,0.024503628402708193,3.0188408907319063e-05,1.5094204453659532e-06,1087652056847.2823
7,8,6,8,0.3,2.6666666666666665,95,,7,0.023875837672869854,0.028411936787535765,2.533010415786747e-05,1.2665052078933735e-06,912613181173.0222
0,8,6,8,0.4,2.6666666666666665,96,,0,0.022644209141075525,0.030523046613810077,2.423147560662371e-05,1.2115737803311856e-06,873030916101.0225
1,8,6,8,0.5,2.6666666666666665,97,,1,0.021838650466196072,0.03178493355060503,2.5785497655147876e-05,1.2892748827573938e-06,929020461050.2942
2,8,6,8,0.6,2.6666666666666665,98,,2,0.021253558278242067,0.03263259344528743,2.8823602716897026e-05,1.4411801358448513e-06,1038479731642.3413
3,8,6,8,0.7,2.6666666666666665,99,,3,0.02079422678345763,0.03326204532870837,3.3507187299779896e-05,1.6753593649889949e-06,1207223649900.1772
4,8,6,8,0.8,2.6666666666666665,100,,4,0.020494344783736382,0.0336243125948745,4.286302475336415e-05,2.1431512376682075e-06,1544303218457.785
5,8,6,8,0.9,2.6666666666666665,101,,5,0.020274337443176294,0.033901927601718944,6.153848165133105e-05,3.0769240825665524e-06,2217157464271.045
6,8,6,8,0.99,2.6666666666666665,102,,6,0.0201677341963001,0.034038087968160435,0.00010382096912786828,5.191048456393414e-06,3740544623020.091
7,8,6,8,0.999,2.6666666666666665,103,,7,0.020190682699196577,0.03398994341100531,0.00011559923360879884,5.779961680439942e-06,4164901323239.2104
0,8,8,8,0.001,2.6666666666666665,104,,0,-0.07065983546160404,0.36105658184862865,0.00047979991967789535,2.3989995983894768e-05,17286613915790.107
1,8,8,8,0.01,2.6666666666666665,105,,1,-0.01203018945763045,0.10799455547695112,0.0007375085313892342,3.687542656946171e-05,26571545177176.934
2,8,8,8,0.1,2.6666666666666665,106,,2,0.03098947575246742,0.013620451043538814,5.0260724678648405e-05,2.51303623393242e-06,1810833447473.0562
3,8,8,8,0.2,2.6666666666666665,107,,3,0.02578707100771222,0.025076569152136973,3.268157342276356e-05,1.634078671138178e-06,1177477775109.1157
4,8,8,8,0.3,2.6666666666666665,108,,4,0.023765981052057083,0.028922718111698945,2.7164023407719603e-05,1.3582011703859802e-06,978687085575.1155
5,8,8,8,0.4,2.6666666666666665,109,,5,0.022654353702710985,0.030807473365938965,2.5507824864407923e-05,1.275391243220396e-06,919016244435.035
6,8,8,8,0.5,2.6666666666666665,110,,6,0.021940671329564832,0.03189271489689073,2.6736487328279377e-05,1.3368243664139689e-06,963283474950.6799
7,8,8,8,0.6,2.6666666666666665,111,,7,0.02148169345042294,0.032492989770751546,3.022613687675531e-05,1.5113068438377655e-06,1089011350200.0386
