,mse_comb,grid_id,alph_leak,eps,k_alph,num_states_input,num_states_model
0,3.3298944755921333e-06,446,0.1,20.0,,13,23
0,3.3248707397584384e-06,447,0.1,20.0,,13,63
0,3.3225762510489226e-06,448,0.1,20.0,,13,513
0,3.322299572761139e-06,449,0.1,20.0,,13,5013
0,3.392735915914361e-06,450,0.1,50.0,,13,13
0,3.3908518368214612e-06,451,0.1,50.0,,13,15
0,3.386918244957797e-06,452,0.1,50.0,,13,23
0,3.3828356642620807e-06,453,0.1,50.0,,13,63
0,3.3810287672472525e-06,454,0.1,50.0,,13,513
0,3.3808138080557987e-06,455,0.1,50.0,,13,5013
0,3.118319853476971e-06,456,0.2,1e-06,,13,13
0,3.118319840744079e-06,457,0.2,1e-06,,13,15
0,3.1183197898126442e-06,458,0.2,1e-06,,13,23
0,3.11831953515865e-06,459,0.2,1e-06,,13,63
0,3.1183166706664785e-06,460,0.2,1e-06,,13,513
0,3.118288062595433e-06,461,0.2,1e-06,,13,5013
0,3.034953843432391e-06,462,0.2,1e-05,,13,13
0,3.0349536899534836e-06,463,0.2,1e-05,,13,15
0,3.0349530760538495e-06,464,0.2,1e-05,,13,23
0,3.03495000693946e-06,465,0.2,1e-05,,13,63
0,3.0349155234209703e-06,466,0.2,1e-05,,13,513
0,3.0345750775929318e-06,467,0.2,1e-05,,13,5013
0,2.922408740008871e-06,468,0.2,0.0001,,13,13
0,2.922406808416188e-06,469,0.2,0.0001,,13,15
0,2.922399084060562e-06,470,0.2,0.0001,,13,23
0,2.922360510581717e-06,471,0.2,0.0001,,13,63
0,2.9219320342615734e-06,472,0.2,0.0001,,13,513
0,2.918136396646797e-06,473,0.2,0.0001,,13,5013
0,2.8009497845879043e-06,474,0.2,0.001,,13,13
0,2.8009240309567808e-06,475,0.2,0.001,,13,15
0,2.8008212844054214e-06,476,0.2,0.001,,13,23
0,2.8003138997273703e-06,477,0.2,0.001,,13,63
0,2.7952506999786197e-06,478,0.2,0.001,,13,513
